Item,Org,CR,IC,COT,ΔCR,ΔIC,ΔCOT
IfElseSwap,0.699,0.699,0.591,0.694,0.0,-0.108,-0.004
DeadException,0.773,0.845,0.748,0.695,0.072,-0.025,-0.078
DeadVariable,0.763,0.833,0.708,0.682,0.07,-0.055,-0.081
TryNcatchWrapper,0.844,0.868,0.792,0.806,0.025,-0.052,-0.038
ReturnViaVariable,0.808,0.818,0.758,0.689,0.01,-0.051,-0.119
ShuffleNames,0.829,0.819,0.81,0.773,-0.009,-0.019,-0.056
RandomNames,0.884,0.867,0.838,0.838,-0.017,-0.046,-0.046
IndependentLineSwap,0.667,0.778,0.667,0.8,0.111,0.0,0.133
defUseBreak,0.62,0.65,0.595,0.55,0.031,-0.025,-0.069

Item,Org,CR,IC,COT,ΔCR,ΔIC,ΔCOT
MAX,0.884,0.868,0.838,0.838,0.111,0.0,0.133
MIN,0.62,0.65,0.591,0.55,-0.017,-0.108,-0.119
AVG,0.765,0.797,0.723,0.725,0.033,-0.042,-0.04
